iter	Passed	Remaining
0	194	19245
1	201	9870
2	207	6720
3	214	5143
4	220	4182
5	226	3546
6	233	3096
7	239	2751
8	246	2491
9	252	2271
10	259	2098
11	265	1948
12	271	1816
13	277	1707
14	283	1605
15	289	1517
16	294	1439
17	300	1368
18	306	1305
19	312	1248
20	317	1193
21	322	1144
22	329	1102
23	331	1050
24	336	1010
25	342	975
26	348	942
27	353	910
28	360	882
29	366	854
30	371	827
31	411	874
32	422	857
33	428	832
34	434	806
35	470	836
36	474	808
37	481	784
38	487	761
39	492	739
40	499	719
41	506	699
42	512	679
43	517	659
44	524	640
45	530	622
46	538	606
47	544	589
48	550	573
49	557	557
50	562	540
51	568	525
52	574	509
53	580	494
54	589	482
55	595	467
56	600	453
57	607	440
58	613	426
59	621	414
60	626	400
61	632	387
62	638	375
63	643	362
64	649	349
65	654	337
66	660	325
67	667	314
68	673	302
69	679	291
70	686	280
71	691	269
72	699	258
73	705	247
74	713	237
75	720	227
76	726	216
77	732	206
78	738	196
79	745	186
80	751	176
81	757	166
82	763	156
83	770	146
84	777	137
85	783	127
86	789	118
87	797	108
88	804	99
89	811	90
90	818	80
91	824	71
92	831	62
93	837	53
94	843	44
95	849	35
96	855	26
97	861	17
98	867	8
99	875	0
